n,SeriesName,gender,unit,SeriesCode,CountryName,CountryCode,year,value
266,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Australia,AUS,2002,47
279,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Benin,BEN,2002,0
280,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Benin,BEN,2002,0
283,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Bolivia,BOL,2002,0
284,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Bolivia,BOL,2002,0
285,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Botswana,BWA,2002,2
286,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Botswana,BWA,2002,3
289,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Burkina Faso,BFA,2002,0
290,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Burkina Faso,BFA,2002,0
293,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Cabo Verde,CPV,2002,0
294,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Cabo Verde,CPV,2002,0
303,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Chile,CHL,2002,17
304,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Chile,CHL,2002,17
305,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Colombia,COL,2002,1
306,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Colombia,COL,2002,2
315,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Cote d'Ivoire,CIV,2002,0
316,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Cote d'Ivoire,CIV,2002,0
319,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Cuba,CUB,2002,7
320,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Cuba,CUB,2002,6
323,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Denmark,DNK,2002,48
324,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Denmark,DNK,2002,47
339,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Ethiopia,ETH,2002,0
340,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Ethiopia,ETH,2002,0
341,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Fiji,FJI,2002,0
342,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Fiji,FJI,2002,0
343,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,France,FRA,2002,76
344,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,France,FRA,2002,69
353,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Greece,GRC,2002,45
354,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Greece,GRC,2002,56
363,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Haiti,HTI,2002,0
364,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Haiti,HTI,2002,0
365,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Honduras,HND,2002,1
366,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Honduras,HND,2002,1
367,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Iceland,ISL,2002,55
368,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Iceland,ISL,2002,72
369,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,India,IND,2002,0
370,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,India,IND,2002,0
371,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Indonesia,IDN,2002,0
372,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Indonesia,IDN,2002,0
375,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Jamaica,JAM,2002,0
376,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Jamaica,JAM,2002,0
379,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Kenya,KEN,2002,0
380,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Kenya,KEN,2002,0
383,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Latvia,LVA,2002,1
384,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Latvia,LVA,2002,2
385,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Lebanon,LBN,2002,13
386,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Lebanon,LBN,2002,8
395,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Luxembourg,LUX,2002,51
396,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Luxembourg,LUX,2002,43
399,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Malawi,MWI,2002,0
400,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Malawi,MWI,2002,0
401,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Malaysia,MYS,2002,8
402,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Malaysia,MYS,2002,3
403,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Mali,MLI,2002,0
404,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Mali,MLI,2002,0
409,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Mexico,MEX,2002,13
410,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Mexico,MEX,2002,11
413,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Mongolia,MNG,2002,0
414,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Mongolia,MNG,2002,0
417,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Morocco,MAR,2002,0
418,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Morocco,MAR,2002,0
419,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Myanmar,MMR,2002,0
420,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Myanmar,MMR,2002,0
423,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Nepal,NPL,2002,0
424,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Nepal,NPL,2002,0
425,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Netherlands,NLD,2002,50
426,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Netherlands,NLD,2002,64
427,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,New Zealand,NZL,2002,42
428,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,New Zealand,NZL,2002,45
433,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Nigeria,NGA,2002,0
434,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Nigeria,NGA,2002,0
435,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Norway,NOR,2002,53
436,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Norway,NOR,2002,61
439,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Pakistan,PAK,2002,2
440,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Pakistan,PAK,2002,3
443,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Paraguay,PRY,2002,0
444,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Paraguay,PRY,2002,0
445,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Peru,PER,2002,2
446,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Peru,PER,2002,2
449,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Rwanda,RWA,2002,0
450,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Rwanda,RWA,2002,0
451,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Sao Tome and Principe,STP,2002,0
452,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Sao Tome and Principe,STP,2002,0
453,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Senegal,SEN,2002,0
454,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Senegal,SEN,2002,0
459,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Singapore,SGP,2002,4
460,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Singapore,SGP,2002,4
463,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,South Africa,ZAF,2002,1
464,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,South Africa,ZAF,2002,0
465,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,South Sudan,SSD,2002,0
466,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,South Sudan,SSD,2002,0
467,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Spain,ESP,2002,44
468,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Spain,ESP,2002,33
469,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Sri Lanka,LKA,2002,0
470,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Sri Lanka,LKA,2002,0
477,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Tanzania,TZA,2002,0
478,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Tanzania,TZA,2002,0
479,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Thailand,THA,2002,2
480,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Thailand,THA,2002,1
481,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Timor-Leste,TLS,2002,0
482,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Timor-Leste,TLS,2002,0
487,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Tunisia,TUN,2002,12
488,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Tunisia,TUN,2002,9
489,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Uganda,UGA,2002,1
490,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Uganda,UGA,2002,1
491,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Ukraine,UKR,2002,0
492,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Ukraine,UKR,2002,0
493,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Uruguay,URY,2002,15
494,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Uruguay,URY,2002,17
495,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Uzbekistan,UZB,2002,0
496,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Uzbekistan,UZB,2002,0
499,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Vietnam,VNM,2002,0
500,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Vietnam,VNM,2002,0
505,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Zambia,ZMB,2002,0
506,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Zambia,ZMB,2002,0
507,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Zimbabwe,ZWE,2002,0
508,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Zimbabwe,ZWE,2002,0
509,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Afghanistan,AFG,2003,0
510,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Afghanistan,AFG,2003,0
517,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Argentina,ARG,2003,26
518,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Argentina,ARG,2003,29
519,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Australia,AUS,2003,51
520,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Australia,AUS,2003,46
533,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Benin,BEN,2003,0
534,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Benin,BEN,2003,0
537,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Bolivia,BOL,2003,1
538,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Bolivia,BOL,2003,0
539,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Botswana,BWA,2003,6
540,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Botswana,BWA,2003,7
543,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Burkina Faso,BFA,2003,2
544,Access to anti-retroviral drugs,male,%,SH.HIV.ARTC.MA.ZS,Burkina Faso,BFA,2003,1
547,Access to anti-retroviral drugs,female,%,SH.HIV.ARTC.FE.ZS,Cabo Verde,CPV,2003,0
